strain,sex,schedule_label,session,genotype,A_ID,n_trials,mean_itl,median_itl,sem_itl,sd_itl,min_itl,max_itl,cut_scope,percentile
Tsc2,male,Deterministic,1,Het,147,872,1.593668004587124,0.9184999999997672,0.05454203518285919,1.6106069976398818,0.3489999999997053,7.973500000000058,session,93
Tsc2,male,Deterministic,1,Het,148,718,1.2741138467966346,0.7649989999999889,0.048586868272863494,1.3019104983943302,0.35599999999999454,7.736658999998326,session,93
Tsc2,male,Deterministic,1,Het,23,1187,1.212541476832411,0.6986639999995532,0.03755140316813034,1.2937534747531783,0.29866600000059407,7.872300999999425,session,93
Tsc2,male,Deterministic,1,Het,28,1093,1.0293158847209574,0.6456689999995433,0.031517490276128914,1.0419855792108301,0.04232799999954295,7.679796000000351,session,93
Tsc2,male,Deterministic,1,Het,29,300,2.24119209000018,1.5201634999998532,0.10611094076489577,1.8378954064373105,0.42582599999968807,7.889635000003182,session,93
Tsc2,male,Deterministic,1,Het,30,1182,0.9816320431472121,0.6867489999999634,0.026977497252785875,0.9274924760796974,0.323500000000422,7.842499000000316,session,93
Tsc2,male,Deterministic,1,Het,353,878,1.550563683371321,0.9925000000000637,0.0462017373235547,1.3690066715854783,0.32000000000005,7.538499999999658,session,93
Tsc2,male,Deterministic,1,Het,360,982,1.338552636456186,0.6616659999999683,0.04941672756262772,1.5485660236699592,0.2966660000001866,7.78465899999992,session,93
Tsc2,male,Deterministic,1,Het,361,871,1.5755556498277963,0.9534899999998743,0.04983794270478551,1.4708527065218389,0.29882599999999115,7.939801000000443,session,93
Tsc2,male,Deterministic,1,Het,362,1147,0.9887121560592627,0.565998999999465,0.033785863002109326,1.1442389461998321,0.32600000000002183,7.655991999999969,session,93
Tsc2,male,Deterministic,1,Het,364,847,2.048927347107387,1.3264999999992142,0.05992358896245269,1.7439720546721538,0.36400000000003274,7.824500000000626,session,93
Tsc2,male,Deterministic,1,Het,6,869,1.4712336018411976,1.0464999999999236,0.0427856862935336,1.2612709435121119,0.3680000000003929,7.875500000000102,session,93
Tsc2,male,Deterministic,1,Het,7,380,1.6747526105263097,1.1132505000000492,0.07728914902798568,1.506642881322136,0.3889960000001338,7.719997999999578,session,93
Tsc2,male,Deterministic,1,Het,73,1009,1.3884573706640642,0.8430000000007567,0.043993105956779924,1.3974304677049185,0.3719989999999598,7.748000000000047,session,93
Tsc2,male,Deterministic,1,Het,75,1033,1.305149667957392,0.944999999999709,0.035815701519609736,1.151128013310445,0.34750000000008185,7.781998999999814,session,93
Tsc2,male,Deterministic,1,WT,115,912,1.494355214912292,1.0106655000000728,0.04206856641937586,1.2704428455819146,0.34266600000000835,7.862659000000349,session,93
Tsc2,male,Deterministic,1,WT,123,898,1.7607940055679243,1.2394995000013296,0.047426160812941466,1.421203073121704,0.36400000000003274,7.957498999999871,session,93
Tsc2,male,Deterministic,1,WT,125,885,1.301322490395462,0.9393349999991187,0.036681916073949355,1.0912484710952834,0.37249900000006164,7.484302999999983,session,93
Tsc2,male,Deterministic,1,WT,146,730,1.7050602780821904,0.976249999999709,0.05945593665512413,1.6064109482267726,0.37149999999928696,7.9134999999987485,session,93
Tsc2,male,Deterministic,1,WT,172,862,1.561310121809759,1.0613320000006752,0.04757654021386965,1.3968394424765953,0.4226669999989099,7.908659000000625,session,93
Tsc2,male,Deterministic,1,WT,173,1192,1.0613934630873036,0.7294999999994616,0.027319081562213885,0.9432009346603997,0.35199999999895226,7.765999999999622,session,93
Tsc2,male,Deterministic,1,WT,19,890,1.5353168258427523,1.1229990000001635,0.03727712221570684,1.1120834582932273,0.4386670000021695,7.692659000000276,session,93
Tsc2,male,Deterministic,1,WT,20,691,2.1127062112880455,1.5655000000006112,0.05751245900971912,1.5118230427100692,0.5190000000002328,7.960000000002765,session,93
Tsc2,male,Deterministic,1,WT,22,953,1.2998384344175709,0.8928300000006857,0.037612813404121655,1.1611338065705987,0.4514979999985371,7.67563599999994,session,93
Tsc2,male,Deterministic,1,WT,354,1144,1.3137987858391937,0.6646655000001829,0.04746059455412742,1.605262966785622,0.2953330000000278,7.914659000000029,session,93
Tsc2,male,Deterministic,1,WT,365,876,1.4158250742009229,0.9596655000013925,0.040418578778475316,1.1962806874531198,0.4579990000001999,7.713992999999391,session,93
Tsc2,male,Deterministic,1,WT,366,845,1.3500930201183903,0.9129990000001271,0.042528705330270096,1.2362619894760403,0.33000099999998156,7.894000000000233,session,93
Tsc2,male,Deterministic,1,WT,74,992,1.692285927419431,1.1019990000008875,0.04904594909557143,1.5447527574676476,0.3546669999996084,7.8346590000001015,session,93
Tsc2,male,Deterministic,2,Het,147,608,1.8196012253289142,0.7926659999993717,0.09041729087616451,2.22947845595019,0.032666999999491964,10.059988999999405,session,93
Tsc2,male,Deterministic,2,Het,148,583,1.4941192178387455,0.6894999999985885,0.07745673311598283,1.8702232565700123,0.3429999999998472,9.27100000000064,session,93
Tsc2,male,Deterministic,2,Het,23,951,1.1584703312302664,0.6891639999994368,0.041679088928309224,1.285311743373221,0.3583310000003621,9.65212800000063,session,93
Tsc2,male,Deterministic,2,Het,28,981,1.18053703873597,0.8068299999995361,0.039285327267163474,1.2304525739161425,0.3186650000006921,10.028959999999643,session,93
Tsc2,male,Deterministic,2,Het,29,877,0.7365965108323795,0.41983299999992596,0.036671703911205396,1.0860026528594346,0.2976650000000518,10.04928800000016,session,93
Tsc2,male,Deterministic,2,Het,30,911,0.9076241262349279,0.4899969999996756,0.039701266527247474,1.1982944561681534,0.3495050000001356,7.751005000000077,session,93
Tsc2,male,Deterministic,2,Het,353,1096,1.7915304580292164,0.9813320000014301,0.05870963051254957,1.9436346116367704,0.35933299999987867,10.031323000000157,session,93
Tsc2,male,Deterministic,2,Het,360,592,1.6279594206081371,0.742249999999558,0.08413042053124736,2.046981478662813,0.2820000000001528,10.04699999999957,session,93
Tsc2,male,Deterministic,2,Het,361,796,0.9189907261306677,0.5016660000001139,0.04758647167832969,1.3425795843400898,0.2653330000000551,9.833990000000085,session,93
Tsc2,male,Deterministic,2,Het,362,994,0.902186834003997,0.4882535000001553,0.03914662132289311,1.2342054987853532,0.31533200000012584,9.86678799999936,session,93
Tsc2,male,Deterministic,2,Het,364,867,2.1613573137254907,1.0559990000001562,0.07408938140348846,2.181551739167242,0.3053330000002461,10.058655999999246,session,93
Tsc2,male,Deterministic,2,Het,6,1219,1.0017604585726163,0.632499999999709,0.032882801761827285,1.1480760760644753,0.29899999999997817,9.803000000000111,session,93
Tsc2,male,Deterministic,2,Het,7,1263,1.1402711448931016,0.7239999999992506,0.034378301343204826,1.221760526002302,0.29399999999986903,9.955499999999574,session,93
Tsc2,male,Deterministic,2,Het,73,697,1.6014330932567813,0.7153330000001006,0.07830254674737264,2.067246553390707,0.30999999999994543,10.051324000000022,session,93
Tsc2,male,Deterministic,2,Het,75,750,1.0326139839999873,0.486250000000382,0.05767227150384146,1.5794202022608177,0.2610020000001896,9.677499999999782,session,93
Tsc2,male,Deterministic,2,WT,115,765,1.3947301058823773,0.6709999999998217,0.06383431729090666,1.7655699784933618,0.28950500000064494,9.683500000000095,session,93
Tsc2,male,Deterministic,2,WT,123,1068,1.8456277762172253,1.0791650000010122,0.05548143245426644,1.8131481524644895,0.4091590000002725,9.94562599999881,session,93
Tsc2,male,Deterministic,2,WT,125,1002,1.4585579011975796,0.8060004999997545,0.050493548626636485,1.5983421566787015,0.35649999999986903,9.93199900000036,session,93
Tsc2,male,Deterministic,2,WT,146,621,1.825049919484676,0.8949999999967986,0.08310162242089957,2.070881759545955,0.3024999999997817,9.904000000000451,session,93
Tsc2,male,Deterministic,2,WT,172,700,1.2035349914285565,0.6934999999998581,0.05391108569859938,1.4263532566798474,0.33849999999983993,9.969500000001062,session,93
Tsc2,male,Deterministic,2,WT,173,696,1.3707548864942791,0.7725085000001854,0.05763666442428863,1.5205596403386508,0.38850300000012794,9.549503000000186,session,93
Tsc2,male,Deterministic,2,WT,19,140,1.7944172857141472,1.3583319999997912,0.10377488345266304,1.2278809799756376,0.603332999999111,7.276659999999538,session,93
Tsc2,male,Deterministic,2,WT,20,610,2.2803467229508914,1.5590000000001965,0.07732032612490805,1.9096711830987823,0.3930000000036671,9.528999999998632,session,93
Tsc2,male,Deterministic,2,WT,22,1150,1.8354230956521702,0.7521640000004481,0.06425246000974105,2.1789069300681203,0.3086649999999054,10.028127000001405,session,93
Tsc2,male,Deterministic,2,WT,354,852,1.7297271725352186,0.5802499999990687,0.08354784704990562,2.438681369135092,0.2565039999999499,10.036000000000058,session,93
Tsc2,male,Deterministic,2,WT,365,844,2.06495918601902,1.1294984999999542,0.07290681760027166,2.1180653956839475,0.35599999999999454,9.970500000000015,session,93
Tsc2,male,Deterministic,2,WT,366,1011,1.7668191978239471,0.8339989999994941,0.06123964680762659,1.9471896617626132,0.38133300000026793,9.931323000000702,session,93
Tsc2,male,Deterministic,2,WT,74,707,1.7363211753889438,1.0240009999999984,0.06797386311161643,1.8073891027905293,0.374005000000011,10.011499999999955,session,93
Tsc2,male,Deterministic,1,Het,147,894,1.7857992170022152,0.9274999999997817,0.06700510506628958,2.0034414365836573,0.3489999999997053,10.82400000000007,session,95
Tsc2,male,Deterministic,1,Het,148,725,1.352737946206873,0.7713330000005953,0.05661325804298655,1.5243586241515792,0.35599999999999454,10.75398899999891,session,95
Tsc2,male,Deterministic,1,Het,23,1206,1.3379761210614196,0.7064969999992172,0.04683091449584628,1.6263210846372929,0.29866600000059407,11.390122000000702,session,95
Tsc2,male,Deterministic,1,Het,28,1097,1.0575762342753017,0.6465029999999388,0.03445157254825195,1.1410702009951328,0.04232799999954295,9.937293999999383,session,95
Tsc2,male,Deterministic,1,Het,29,315,2.5507553587303256,1.5489989999987301,0.12789266836413474,2.269869689147164,0.42582599999968807,9.679454999997688,session,95
Tsc2,male,Deterministic,1,Het,30,1192,1.0532861409395993,0.6890000000000782,0.035114223451075795,1.2123309600838876,0.323500000000422,11.401499000000058,session,95
Tsc2,male,Deterministic,1,Het,353,900,1.736276016666682,1.0140010000000075,0.05993990285335396,1.798197085600619,0.32000000000005,11.40099999999984,session,95
Tsc2,male,Deterministic,1,Het,360,1005,1.5252535383084265,0.6746660000001157,0.061920025401573195,1.9629722345107505,0.2966660000001866,11.284654999999475,session,95
Tsc2,male,Deterministic,1,Het,361,881,1.659898721906933,0.9569909999991069,0.056022954216792854,1.6628533918162527,0.29882599999999115,10.224126999999498,session,95
Tsc2,male,Deterministic,1,Het,362,1159,1.0778896125970459,0.5693319999991218,0.042282292249710036,1.439462123056518,0.32600000000002183,11.36532199999965,session,95
Tsc2,male,Deterministic,1,Het,364,889,2.411542109111316,1.4475000000002183,0.07939046296296018,2.3671142234420444,0.36400000000003274,11.337999999999965,session,95
Tsc2,male,Deterministic,1,Het,6,886,1.623010722347624,1.0602499999999964,0.05574813524317822,1.6593851754849551,0.3680000000003929,11.233000000000175,session,95
Tsc2,male,Deterministic,1,Het,7,393,1.9268701857506336,1.1365000000000691,0.1019536967668224,2.021153289529896,0.3889960000001338,11.2379990000004,session,95
Tsc2,male,Deterministic,1,Het,73,1045,1.6641368507177485,0.8670039999997243,0.06229385076222823,2.0137396593681554,0.3719989999999598,11.33749899999998,session,95
Tsc2,male,Deterministic,1,Het,75,1049,1.4280115433746277,0.9540000000015425,0.04680042979550466,1.515784932062301,0.34750000000008185,11.380999999997584,session,95
Tsc2,male,Deterministic,1,WT,115,931,1.6596904092373956,1.033331999999973,0.05598802504355525,1.7083230024929723,0.34266600000000835,11.333322000000408,session,95
Tsc2,male,Deterministic,1,WT,123,930,2.0261467870967613,1.2610004999987723,0.06515335488808464,1.986910284197708,0.36400000000003274,11.118499999999585,session,95
Tsc2,male,Deterministic,1,WT,125,894,1.3771313489932722,0.9463289999991957,0.044246279363306946,1.3229563538988156,0.37249900000006164,10.758123999999953,session,95
Tsc2,male,Deterministic,1,WT,146,766,2.085880560052204,1.0284974999990482,0.0843297640620772,2.333970003188228,0.37149999999928696,11.383499999999913,session,95
Tsc2,male,Deterministic,1,WT,172,879,1.7121469419795312,1.0693320000000313,0.059200720068871594,1.7551790508707292,0.4226669999989099,10.302655999999843,session,95
Tsc2,male,Deterministic,1,WT,173,1196,1.0901166454850064,0.73149999999805,0.030824959805778825,1.066026765069874,0.35199999999895226,10.912499999999909,session,95
Tsc2,male,Deterministic,1,WT,19,902,1.6411247616408557,1.132332499999393,0.04791173994696989,1.4389483701373564,0.4386670000021695,11.28798900000038,session,95
Tsc2,male,Deterministic,1,WT,20,711,2.3212032222222883,1.580500000000029,0.07264082209202921,1.9369372481627676,0.5190000000002328,10.946500000000015,session,95
Tsc2,male,Deterministic,1,WT,22,958,1.343529577244203,0.8946634999992966,0.04221975862935469,1.3067680291217298,0.4514979999985371,10.381792000000132,session,95
Tsc2,male,Deterministic,1,WT,354,1197,1.6797760793651115,0.6906660000004194,0.0671728141921037,2.3240240529918816,0.2953330000000278,11.390655000000152,session,95
Tsc2,male,Deterministic,1,WT,365,899,1.6378700778642938,0.9786659999999756,0.06052294849094279,1.8146794585654926,0.4579990000001999,11.155987999999525,session,95
Tsc2,male,Deterministic,1,WT,366,857,1.46453044340728,0.9205009999996037,0.053504732814064405,1.5663276360689324,0.33000099999998156,11.375998999999865,session,95
Tsc2,male,Deterministic,1,WT,74,1025,1.9417216214634794,1.127332000000024,0.06408479640366965,2.051714565516433,0.3546669999996084,11.312655000001541,session,95
Tsc2,male,Deterministic,2,Het,147,632,2.2007435537974342,0.8203324999994948,0.1161170845682696,2.9191382412789415,0.032666999999491964,14.403986000000259,session,95
Tsc2,male,Deterministic,2,Het,148,599,1.7681995025041541,0.6999999999998181,0.10156785212152757,2.4858200100095185,0.3429999999998472,13.570000000000164,session,95
Tsc2,male,Deterministic,2,Het,23,958,1.243540983298525,0.6904135000008864,0.05239622841381795,1.6217457977159289,0.3583310000003621,13.862445000000662,session,95
Tsc2,male,Deterministic,2,Het,28,982,1.1910932963339977,0.8069964999995136,0.04064022958281009,1.2735379663966553,0.3186650000006921,11.546781999999439,session,95
Tsc2,male,Deterministic,2,Het,29,884,0.8214962183257865,0.4206650000000991,0.04862529106382659,1.4457338396264352,0.2976650000000518,14.356936999999562,session,95
Tsc2,male,Deterministic,2,Het,30,915,0.9541847846994742,0.49000100000012026,0.04586351616160833,1.387323983414144,0.3495050000001356,11.965500000000247,session,95
Tsc2,male,Deterministic,2,Het,353,1128,2.061993810283712,1.0249994999999217,0.07419391433662918,2.4918553832312824,0.35933299999987867,14.135986000000003,session,95
Tsc2,male,Deterministic,2,Het,360,618,2.0791229514563367,0.7690000000000055,0.11867334823486148,2.9501726548164147,0.2820000000001528,14.352499999999964,session,95
Tsc2,male,Deterministic,2,Het,361,798,0.9473190413533988,0.5023325000000227,0.0515435535458739,1.4560483693493234,0.2653330000000551,13.17665400000078,session,95
Tsc2,male,Deterministic,2,Het,362,1002,0.9863488213572599,0.49075050000055853,0.0489555142528082,1.5496566266461793,0.31533200000012584,13.724439000000075,session,95
Tsc2,male,Deterministic,2,Het,364,913,2.6656132584885115,1.1639979999999923,0.1015120947911555,3.0672782756142682,0.3053330000002461,14.402652000000671,session,95
Tsc2,male,Deterministic,2,Het,6,1227,1.07157131132846,0.6350000000002183,0.041000939866743066,1.4362038730056235,0.29899999999997817,13.514000000000124,session,95
Tsc2,male,Deterministic,2,Het,7,1275,1.2436929058823452,0.7274939999997514,0.04529694841409072,1.6174245756531338,0.29399999999986903,13.728500000000167,session,95
Tsc2,male,Deterministic,2,Het,73,718,1.9153109665737766,0.7279989999988175,0.10213025404719817,2.736633470611854,0.30999999999994543,14.397318999999925,session,95
Tsc2,male,Deterministic,2,Het,75,763,1.2175779672345886,0.4899959999984276,0.07642398152467186,2.1110179626046826,0.2610020000001896,14.246000000000095,session,95
Tsc2,male,Deterministic,2,WT,115,790,1.7221133215190076,0.6807519999997567,0.08962829316697672,2.519176936910182,0.28950500000064494,14.126499999998487,session,95
Tsc2,male,Deterministic,2,WT,123,1094,2.08491532723948,1.0877479999999196,0.07157467725693178,2.3673804637891944,0.4091590000002725,14.095615999999609,session,95
Tsc2,male,Deterministic,2,WT,125,1013,1.565236428430378,0.8149990000001708,0.05941339173797201,1.8909892866807172,0.35649999999986903,12.81349499999942,session,95
Tsc2,male,Deterministic,2,WT,146,639,2.134114241001535,0.9274999999997817,0.10850583204278383,2.7428591761668484,0.3024999999997817,14.306499999998778,session,95
Tsc2,male,Deterministic,2,WT,172,705,1.2791765872340248,0.6960000000003674,0.06336808666314667,1.6825390507148366,0.33849999999983993,13.306499999998778,session,95
Tsc2,male,Deterministic,2,WT,173,719,1.7059616300417506,0.7899999999999636,0.08895172040706792,2.3851670291759874,0.38850300000012794,14.330998000000136,session,95
Tsc2,male,Deterministic,2,WT,19,142,1.9308525633801448,1.3643320000010135,0.14071076717712938,1.6767623087187513,0.603332999999111,12.437320999999883,session,95
Tsc2,male,Deterministic,2,WT,20,624,2.4991754855769908,1.5817499999984648,0.09540606393905961,2.383242713337986,0.3930000000036671,13.70799999999872,session,95
Tsc2,male,Deterministic,2,WT,22,1181,2.108076384419977,0.7719959999999446,0.07928916288601652,2.724826043204623,0.3086649999999054,14.239109000000099,session,95
Tsc2,male,Deterministic,2,WT,354,902,2.293130332594248,0.6125004999994417,0.11104526176279853,3.3350573074973595,0.2565039999999499,14.312998999999763,session,95
Tsc2,male,Deterministic,2,WT,365,871,2.3571045430540174,1.1670000000012806,0.09000920634552188,2.656415525604774,0.35599999999999454,13.918999999999869,session,95
Tsc2,male,Deterministic,2,WT,366,1036,2.008187173745183,0.8636660000003644,0.07668375318072775,2.4682164268861335,0.38133300000026793,14.380651999999827,session,95
Tsc2,male,Deterministic,2,WT,74,725,1.9962138868965298,1.0490000000008877,0.09008072068050915,2.425497634049959,0.374005000000011,14.346999999999753,session,95
Tsc2,male,Deterministic,1,Het,147,941,2.619602019128571,0.9979999999995925,0.1404900656907414,4.309634381578014,0.3489999999997053,31.625500000000102,session,98
Tsc2,male,Deterministic,1,Het,148,750,1.911982077333311,0.7916655000008177,0.12889339913287284,3.5298911109295643,0.35599999999999454,31.421968000000106,session,98
Tsc2,male,Deterministic,1,Het,23,1220,1.5198247852459645,0.7123304999995526,0.06964147250236204,2.4324720603950722,0.29866600000059407,31.849372000000585,session,98
Tsc2,male,Deterministic,1,Het,28,1098,1.072188271402556,0.646583499999906,0.037393321990796216,1.2390682230608157,0.04232799999954295,17.10159300000032,session,98
Tsc2,male,Deterministic,1,Het,29,348,4.2158461436783305,1.7879930000001423,0.3102647845790916,5.787914505188265,0.42582599999968807,31.313380999999936,session,98
Tsc2,male,Deterministic,1,Het,30,1202,1.1822654500831946,0.693497500000376,0.05449798735891611,1.8894382267381584,0.323500000000422,25.39049999999952,session,98
Tsc2,male,Deterministic,1,Het,353,940,2.3571876829787395,1.0394999999998618,0.11588517494478061,3.552972184757919,0.32000000000005,28.714500000000044,session,98
Tsc2,male,Deterministic,1,Het,360,1044,2.1377833045976713,0.7026660000001357,0.11845852299055319,3.8275120146831636,0.2966660000001866,32.30063399999972,session,98
Tsc2,male,Deterministic,1,Het,361,897,1.9233235986622175,0.9716629999993529,0.08877521252056873,2.6588139098460237,0.29882599999999115,32.86870800000179,session,98
Tsc2,male,Deterministic,1,Het,362,1176,1.3409924030612017,0.5723329999996167,0.07833996274148737,2.686501092594056,0.32600000000002183,29.79130400000031,session,98
Tsc2,male,Deterministic,1,Het,364,940,3.2909430244680298,1.5375000000003638,0.14818054545593082,4.543129495019938,0.36400000000003274,32.011500000000524,session,98
Tsc2,male,Deterministic,1,Het,6,912,2.10608004385965,1.08199999999988,0.112224081196419,3.3890929307333786,0.3680000000003929,29.83549999999923,session,98
Tsc2,male,Deterministic,1,Het,7,413,2.7635132929781947,1.1784999999999854,0.21519845715675814,4.373349434080712,0.3889960000001338,32.74350000000004,session,98
Tsc2,male,Deterministic,1,Het,73,1096,2.431718089416099,0.9080010000006951,0.12528033181491566,4.147516973740103,0.3719989999999598,29.396499999999833,session,98
Tsc2,male,Deterministic,1,Het,75,1080,1.8463889814814807,0.9749995000004219,0.090407851321498,2.9711051726614595,0.34750000000008185,31.789999999997235,session,98
Tsc2,male,Deterministic,1,WT,115,957,2.047926182863122,1.0653320000001258,0.09630580454451838,2.979260184247325,0.34266600000000835,32.626633999998376,session,98
Tsc2,male,Deterministic,1,WT,123,967,2.574649949327803,1.305500000000393,0.11189024991658574,3.47940898738923,0.36400000000003274,29.536505000000034,session,98
Tsc2,male,Deterministic,1,WT,125,903,1.5474175813953301,0.9526630000000296,0.07285507195585021,2.1892918816941647,0.37249900000006164,26.70006099999955,session,98
Tsc2,male,Deterministic,1,WT,146,832,3.3597932800480543,1.1414980000008654,0.17919584041468917,5.168798327720193,0.37149999999928696,31.31999999999971,session,98
Tsc2,male,Deterministic,1,WT,172,911,2.271383750823287,1.0819979999996576,0.11632142146913399,3.5109034716663055,0.4226669999989099,27.35863900000004,session,98
Tsc2,male,Deterministic,1,WT,173,1214,1.3556865782537657,0.7404999999989741,0.0726431685939401,2.5310698037091526,0.35199999999895226,33.09400000000005,session,98
Tsc2,male,Deterministic,1,WT,19,930,2.134521895698972,1.1433319999996456,0.10671391139514232,3.254336916067968,0.4386670000021695,29.845969999998488,session,98
Tsc2,male,Deterministic,1,WT,20,745,3.0128241489933463,1.662000000000262,0.14122762892267615,3.854764086488978,0.5190000000002328,29.959500000000844,session,98
Tsc2,male,Deterministic,1,WT,22,968,1.529441350206546,0.9010794999994687,0.07480539616770003,2.3273977275791804,0.4514979999985371,29.30504899999869,session,98
Tsc2,male,Deterministic,1,WT,354,1257,2.44007073587911,0.719332000000577,0.12096949266577854,4.288876079098174,0.2953330000000278,32.67463399999906,session,98
Tsc2,male,Deterministic,1,WT,365,923,2.0055321278439826,0.997999000002892,0.09688699013283476,2.9435154178313763,0.4579990000001999,24.97797499999797,session,98
Tsc2,male,Deterministic,1,WT,366,864,1.6011783402778201,0.9262499999997544,0.07602633098198,2.2347086150615874,0.33000099999998156,27.231999000000087,session,98
Tsc2,male,Deterministic,1,WT,74,1067,2.5260318238051105,1.1519989999978861,0.11193830182590996,3.6564608167623383,0.3546669999996084,31.279301999999007,session,98
Tsc2,male,Deterministic,2,Het,147,664,3.511766546686709,0.8489994999999908,0.2629127423071451,6.7747874567985935,0.032666999999491964,45.9786210000002,session,98
Tsc2,male,Deterministic,2,Het,148,635,2.9803220456692685,0.7340000000003783,0.2311282707726083,5.8242489854455455,0.3429999999998472,42.57650000000103,session,98
Tsc2,male,Deterministic,2,Het,23,971,1.5164108836251138,0.696831000000202,0.09685121635735731,3.017968443293031,0.3583310000003621,43.33082599999989,session,98
Tsc2,male,Deterministic,2,Het,28,988,1.3186286275303503,0.8104170000005979,0.07077838309435246,2.2247392115233455,0.3186650000006921,44.34648900000002,session,98
Tsc2,male,Deterministic,2,Het,29,887,0.9159695434047295,0.4209979999995994,0.07474055803627105,2.2259640497576387,0.2976650000000518,40.63350999999966,session,98
